GMP,CJU
CJU,GMP
TAE,CJU
CJU,TAE
KWJ,CJU
CJU,KWJ
MWX,CJU
CJU,MWX
NGO,ICN
ICN,NGO
NRT,ICN
ICN,NRT
KMJ,ICN
ICN,KMJ
HSG,ICN
ICN,HSG
CTS,ICN
ICN,CTS
KIX,ICN
ICN,KIX
OIT,ICN
ICN,OIT
OKA,ICN
ICN,OKA
FUK,ICN
ICN,FUK
NRT,TAE
TAE,NRT
KIX,TAE
TAE,KIX
FUK,TAE
TAE,FUK
OKA,TAE
TAE,OKA
KIX,CJU
CJU,KIX
NRT,CJU
CJU,NRT
KIX,PUS
PUS,KIX
MFM,ICN
ICN,MFM
SYX,ICN
ICN,SYX
WNZ,ICN
ICN,WNZ
TNA,ICN
ICN,TNA
TAO,ICN
ICN,TAO
HAK,ICN
ICN,HAK
HKG,TAE
TAE,HKG
NNG,CJU
CJU,NNG
TPE,PUS
PUS,TPE
KHH,ICN
ICN,KHH
RMQ,ICN
ICN,RMQ
DAD,ICN
ICN,DAD
BKK,ICN
ICN,BKK
VTE,ICN
ICN,VTE
SGN,ICN
ICN,SGN
TSA,GMP
GMP,TSA
TPE,TAE
TAE,TPE
BKK,TAE
TAE,BKK
CEB,TAE
TAE,CEB
DAD,TAE
TAE,DAD
DAD,PUS
PUS,DAD
VVO,TAE
TAE,VVO
SPN,ICN
ICN,SPN
GUM,ICN
ICN,GUM
GUM,KIX
KIX,GUM
GUM,TAE
TAE,GUM
