MNL,CEB
CEB,MNL
LGP,MNL
BCD,CEB
BCD,CGY
BSO,MNL
TAG,CGY
ZAM,CGY
ZAM,CEB
ZAM,CBO
TDG,CEB
MNL,USU
CEB,OZC
SUG,CEB
MBT,MNL
CGM,CEB
CEB,SUG
CGY,TAG
CGY,BCD
TAG,DVO
BXU,CEB
CGY,DVO
OZC,CEB
TAC,CEB
TBH,MNL
IAO,MNL
IAO,CEB
MNL,BSO
CBO,ZAM
CGY,CEB
CGY,DGT
PAG,CEB
USU,MNL
MNL,TBH
WNP,MNL
DPL,CEB
DGT,CEB
CEB,CGM
MNL,MBT
MNL,WNP
CEB,PAG
DGT,CGY
CGY,ZAM
CEB,IAO
CEB,DGT
MNL,LGP
MNL,IAO
CEB,BCD
CEB,CGY
CEB,BXU
CEB,DPL
CEB,ILO
DVO,CGY
CEB,LGP
CEB,TAC
CEB,ZAM
LGP,CEB
DVO,DGT
DGT,DVO
CEB,CYP
ILO,CEB
DVO,TAG
CEB,TDG
